sizeid	brand	region	gender	chest	neck	sleeve	torsolength	hips	waist	size
0	diesel	italy	female	0.9652					0.7747	44-IV/L
20	diesel	italy	female	1.0160					0.8255	46-V/XL
40	diesel	italy	female	1.0668					0.8763	48-VI/XXL
60	diesel	italy	female	1.1176					0.9398	50,52-VII/XXXL
-80	diesel	us	female	0.7620					0.5715	0/XXS
-60	diesel	us	female	0.8128					0.6223	2/XS
-40	diesel	us	female	0.8636					0.6731	4/S
-20	diesel	us	female	0.9144					0.7239	6/M
0	diesel	us	female	0.9652					0.7747	8/L
20	diesel	us	female	1.0160					0.8255	10/XL
40	diesel	us	female	1.0668					0.8763	12/XXL
60	diesel	us	female	1.1176					0.9398	14,16/XXXL
-80	diesel	france	female	0.7620					0.5715	32/XXS
-60	diesel	france	female	0.8128					0.6223	34/XS
-40	diesel	france	female	0.8636					0.6731	36/S
-20	diesel	france	female	0.9144					0.7239	38/M
0	diesel	france	female	0.9652					0.7747	40/L
20	diesel	france	female	1.0160					0.8255	42/XL
40	diesel	france	female	1.0668					0.8763	44/XXL
60	diesel	france	female	1.1176					0.9398	46/XXXL
-80	diesel	uk	female	0.7620					0.5715	4/XXS
-60	diesel	uk	female	0.8128					0.6223	6/XS
-40	diesel	uk	female	0.8636					0.6731	8/S
-20	diesel	uk	female	0.9144					0.7239	10/M
0	diesel	uk	female	0.9652					0.7747	12/L
20	diesel	uk	female	1.0160					0.8255	14/XL
40	diesel	uk	female	1.0668					0.8763	16/XXL
60	diesel	uk	female	1.1176					0.9398	18,20/XXXL
-80	diesel	japan	female	0.7620					0.5715	5/XXS
-60	diesel	japan	female	0.8128					0.6223	7/XS
-40	diesel	japan	female	0.8636					0.6731	9/S
-20	diesel	japan	female	0.9144					0.7239	11/M
0	diesel	japan	female	0.9652					0.7747	13/L
20	diesel	japan	female	1.0160					0.8255	15/XL
40	diesel	japan	female	1.0668					0.8763	17/XXL
60	diesel	japan	female	1.1176					0.9398	19,21/XXXL
-80	diesel	italy	male	0.8128					0.6858	42/XXS
-60	diesel	italy	male	0.8636	0.3556				0.7239	44/XS
-40	diesel	italy	male	0.9144	0.3747				0.7747	46/S
-20	diesel	italy	male	0.9652	0.3967				0.8255	48/M
0	diesel	italy	male	1.0160	0.4128				0.8763	50/L
20	diesel	italy	male	1.0668	0.4381				0.9271	52/XL
40	diesel	italy	male	1.1176	0.4636				0.9779	54/XXL
60	diesel	italy	male	1.1684	0.4890				1.0287	56/XXXL
-80	diesel	us	male	0.8128					0.6858	32/XXS
-60	diesel	us	male	0.8636	0.3556				0.7239	34/XS
-40	diesel	us	male	0.9144	0.3747				0.7747	36/S
-20	diesel	us	male	0.9652	0.3967				0.8255	38/M
0	diesel	us	male	1.0160	0.4128				0.8763	40/L
20	diesel	us	male	1.0668	0.4381				0.9271	42/XL
40	diesel	us	male	1.1176	0.4636				0.9779	44/XXL
60	diesel	us	male	1.1684	0.4890				1.0287	46/XXXL
-80	diesel	france	male	0.8128					0.6858	38/XXS
